epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,19006.4,1.06233,1.95368,0.7635,1.01888,0,0.72404,0.47253,0.49263,0.23129,0.7072,0.46154,0.46265,0.18966,2.24494,4.44134,1.6763,1.97367,0,0.0002345,0.0002345,0.0002345
109,19182.4,1.05318,1.96873,0.76576,1.01193,0,0.70573,0.49451,0.52803,0.24731,0.73512,0.4575,0.48938,0.1859,2.25342,4.39612,1.69966,2.01175,0,0.000218,0.000218,0.000218
110,19358.3,1.04069,1.9521,0.75152,1.00923,0,0.77715,0.47253,0.51794,0.24405,0.75674,0.46154,0.46753,0.18608,2.23905,4.38905,1.74242,1.98636,0,0.0002015,0.0002015,0.0002015
111,19535.3,1.0679,2.0317,0.77613,1.06063,0,0.75832,0.46154,0.50048,0.23506,0.73942,0.45055,0.46851,0.18158,2.25384,4.31843,1.78508,1.99157,0,0.000185,0.000185,0.000185
112,19711,1.00334,1.95396,0.7398,1.04032,0,0.77376,0.47253,0.50452,0.23391,0.73777,0.45055,0.45702,0.1822,2.28186,4.44027,1.7231,2.02838,0,0.0001685,0.0001685,0.0001685
113,19886.8,0.99623,1.94819,0.73137,1.03376,0,0.73549,0.47253,0.51255,0.24077,0.69855,0.45055,0.46527,0.1862,2.24837,4.41474,1.72724,1.992,0,0.000152,0.000152,0.000152
114,20062.6,0.98358,1.92662,0.71963,1.0275,0,0.77913,0.46154,0.51903,0.25274,0.74104,0.43956,0.46672,0.19248,2.24002,4.43181,1.73962,1.97609,0,0.0001355,0.0001355,0.0001355
115,20238.5,0.97619,1.90876,0.70961,1.02594,0,0.74465,0.46154,0.51486,0.24094,0.70999,0.43956,0.45569,0.18792,2.23768,4.51251,1.77254,1.96058,0,0.000119,0.000119,0.000119
116,20414.4,0.95615,1.8851,0.69804,1.01677,0,0.75778,0.47253,0.52117,0.23803,0.74622,0.45055,0.47489,0.19372,2.2278,4.522,1.78485,1.97535,0,0.0001025,0.0001025,0.0001025
117,20590.2,0.95433,1.89385,0.6954,1.01299,0,0.76853,0.47253,0.53981,0.24959,0.71729,0.45055,0.46432,0.19679,2.23096,4.59005,1.77641,1.98398,0,8.6e-05,8.6e-05,8.6e-05
118,20765.9,0.95182,1.86514,0.69696,1.0139,0,0.7197,0.46154,0.52184,0.23902,0.69436,0.43956,0.45259,0.18974,2.23452,4.64226,1.7785,2.00542,0,6.95e-05,6.95e-05,6.95e-05
119,20941.7,0.94656,1.86288,0.68644,1.01293,0,0.74502,0.47253,0.52822,0.23641,0.69717,0.43956,0.44667,0.18589,2.23343,4.69066,1.81466,1.98877,0,5.3e-05,5.3e-05,5.3e-05
120,21117.4,0.94097,1.85134,0.68584,1.00448,0,0.78419,0.47923,0.53317,0.24049,0.72778,0.43956,0.45076,0.18829,2.22841,4.69348,1.76101,1.98957,0,3.65e-05,3.65e-05,3.65e-05
